"ID","Name","locatedInCity","UID","IRI"
"11959","MR Personal und Service GmbH","Cazis","CHE-114.587.724","https://register.ld.admin.ch/zefix/company/926935"
"10993","Regaber Holding AG","Zug","CHE-102.135.350","https://register.ld.admin.ch/zefix/company/321145"
"10445","Hans Müller Gärtnerei AG","Kradolf","CHE-106.018.393","https://register.ld.admin.ch/zefix/company/123783"
"10989","Seydoux Grains Sàrl","Cheyres","CHE-109.402.150","https://register.ld.admin.ch/zefix/company/661514"
"11401","Amstutz-Produkte AG","Eschenbach","CHE-105.930.384","https://register.ld.admin.ch/zefix/company/404360"
"11947","KRONI AG","Altstätten","CHE-101.828.982","https://register.ld.admin.ch/zefix/company/273573"
"11909","SFP Europe SA","Schaffhausen","CHE-115.339.264","https://register.ld.admin.ch/zefix/company/968176"
"11438","Schneider Formulations Consulting","Pfeffingen","CHE-429.885.244","https://register.ld.admin.ch/zefix/company/1119898"
"10388","Syngenta Agro AG","Stein","CHE-105.974.192","https://register.ld.admin.ch/zefix/company/393743"
"12015","Westland Schweiz GmbH ","Dielsdorf","CHE-291.286.446","https://register.ld.admin.ch/zefix/company/1335753"
"11968","UFA-Samen PROFI GRÜN","Winterthur","CHE-105.976.742","https://register.ld.admin.ch/zefix/company/321790"
"11982","MycoSolutions AG","St. Gallen","CHE-112.155.874","https://register.ld.admin.ch/zefix/company/777788"
"10310","Amreco AG","Solothurn","CHE-107.629.323","https://register.ld.admin.ch/zefix/company/339512"
"10859","808 Schweiz AG","Zürich","CHE-105.134.677","https://register.ld.admin.ch/zefix/company/457133"
"11777","Helm Swiss GmbH","Zürich","CHE-113.729.051","https://register.ld.admin.ch/zefix/company/878487"
"11902","Agrifutur Srl, Alfaniello","Lugano ","CHE-323.421.667","https://register.ld.admin.ch/zefix/company/1498134"
"10763","ISK Biosciences (Schweiz) GmbH","Bern","CHE-111.719.627","https://register.ld.admin.ch/zefix/company/760292"
"10285","Koppert Deutschland GmbH ","Sissach","CHE-277.192.740","https://register.ld.admin.ch/zefix/company/1169237"
"10038","Desinfecta AG","Deisswil b. Stettlen","CHE-115.798.790","https://register.ld.admin.ch/zefix/company/986343"
"10035","Coop Genossenschaft","Wangen bei Olten","CHE-302.816.540","https://register.ld.admin.ch/zefix/company/1138887"
"11257","Linde Gas Schweiz AG","Dagmersellen","CHE-105.877.011","https://register.ld.admin.ch/zefix/company/132246"
"10712","Stähler Suisse SA","Zofingen","CHE-106.075.830","https://register.ld.admin.ch/zefix/company/267983"
"11262","LKC Switzerland Ltd.","Füllinsdorf","CHE-113.597.134","https://register.ld.admin.ch/zefix/company/870785"
"10023","Blaser Swisslube AG","Hasle-Rüegsau ","CHE-102.490.420","https://register.ld.admin.ch/zefix/company/337817"
"10019","BASF Schweiz AG","Basel","CHE-114.849.350","https://register.ld.admin.ch/zefix/company/943835"
"10011","Andermatt Biocontrol Suisse AG","Grossdietwil","CHE-188.878.752","https://register.ld.admin.ch/zefix/company/1410761"
"10746","Andermatt Biogarten AG","Grossdietwil","CHE-110.263.547","https://register.ld.admin.ch/zefix/company/721898"
"10105","Hauert HBG Dünger AG","Grossaffoltern ","CHE-111.737.855","https://register.ld.admin.ch/zefix/company/761673"
"10096","Cemag Handels AG","Birmenstorf","CHE-107.902.424","https://register.ld.admin.ch/zefix/company/243472"
